order_date,order_platform,order_revenue_source,order_sale_type,order_country,order_state,customer_type,order_discount_code,num_orders,order_revenue,order_refund,item_quantity
11/4/22,Amazon,Amazon,DTC,United States Of America,FL,Existing,Fba Subscribe  Save Discount,2,42.90338016,0,2
2/7/23,Amazon,Amazon,DTC,Canada,Unknown,Existing,Ca Core Free Shipping  A1mktv4oyo2hj1,1,20.38794491,0,1
1/5/23,Amazon,Amazon,DTC,United States Of America,KS,New,,1,21.95607785,0,1
1/6/23,Amazon,Amazon,DTC,United States Of America,NY,Existing,,1,21.95607785,0,1
9/17/22,Amazon,Amazon,DTC,United States Of America,CO,New,,2,66.99662079,0,3
11/19/22,Amazon,Amazon,DTC,United States Of America,CA,New,,10,256.0488165,0,11
2/26/23,Amazon,Amazon,DTC,Australia,Unknown,Existing,,6,186.89,0,6
3/7/23,Amazon,Amazon,DTC,United States Of America,KY,New,,2,45.50720208,0,2
2/20/23,Amazon,Amazon,DTC,United States Of America,IL,Existing,,2,74.09881824,0,2
1/16/23,Amazon,Amazon,DTC,United States Of America,MA,New,,3,64.47425349,0,3
2/27/23,Amazon,Amazon,DTC,United States Of America,IN,Existing,,2,44.55834462,0,2
2/27/23,Amazon,Amazon,DTC,United States Of America,HI,New,,3,84.65927692,0,3
2/10/23,Amazon,Amazon,DTC,Canada,Unknown,New,Fba Subscribe  Save Discount,1,17.2003818,0,1
11/1/22,Amazon,Amazon,DTC,United States Of America,AZ,New,,4,93.60641909,0,4
2/28/23,Amazon,Amazon,DTC,United States Of America,CA,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,40.1009323,0,1
2/27/23,Amazon,Amazon,DTC,United States Of America,LA,New,,3,84.68621294,0,3
12/18/22,Amazon,Amazon,DTC,United States Of America,NC,New,,3,67.06963708,0,3
2/27/23,Amazon,Amazon,DTC,United States Of America,KS,New,,1,40.12786832,0,1
11/1/22,Amazon,Amazon,DTC,United States Of America,PA,Existing,Fba Subscribe  Save Discount,1,21.04918895,0,1
11/9/22,Amazon,Amazon,DTC,United States Of America,IL,New,,1,23.03265965,0,1
11/9/22,Amazon,Amazon,DTC,United States Of America,KS,New,,1,23.03265965,0,1
10/12/22,Amazon,Amazon,DTC,United States Of America,WA,Existing,Subscribe And Save Promotion V2,1,23.8810187,0,1
10/12/22,Amazon,Amazon,DTC,United States Of America,ND,New,,1,23.8810187,0,1
10/13/22,Amazon,Amazon,DTC,United States Of America,FL,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,23.8810187,0,1
12/24/22,Amazon,Amazon,DTC,United States Of America,CA,New,,4,89.5228283,0,4
3/10/23,Amazon,Amazon,DTC,United States Of America,PA,New,,2,45.4093992,0,2
11/9/22,Amazon,Amazon,DTC,United States Of America,OR,New,,1,23.03265965,0,1
11/9/22,Amazon,Amazon,DTC,United States Of America,GA,New,,1,23.03265965,0,1
10/5/22,Amazon,Amazon,DTC,United States Of America,NY,New,,2,78.26281366,0,2
10/13/22,Amazon,Amazon,DTC,United States Of America,WI,Existing,,1,23.8810187,0,1
1/11/23,Amazon,Amazon,DTC,United States Of America,HI,Existing,Fba Subscribe  Save Discount,1,19.522728,0,1
11/5/22,Amazon,Amazon,DTC,United States Of America,FL,New,,9,269.0245931,0,10
9/15/22,Amazon,Amazon,DTC,United States Of America,UT,New,,3,84.59400623,0,3
10/13/22,Amazon,Amazon,DTC,United States Of America,AL,New,,1,23.8810187,0,1
2/22/23,Amazon,Amazon,DTC,United States Of America,IL,Existing,,3,65.52718107,0,3
12/6/22,Amazon,Amazon,DTC,United States Of America,MA,Existing,Fba Subscribe  Save Discount,1,20.11626102,0,1
1/26/23,Amazon,Amazon,DTC,United States Of America,CT,New,,2,42.36635692,0,2
12/9/22,Amazon,Amazon,DTC,United States Of America,IL,New,,1,39.82587721,0,1
12/30/22,Amazon,Amazon,DTC,Canada,Unknown,New,,6,123.4528618,0,6
1/28/23,Amazon,Amazon,DTC,Canada,Unknown,New,Ca Core Free Shipping  A1mktv4oyo2hj1,1,18.91656158,0,1
2/20/23,Amazon,Amazon,DTC,United States Of America,NJ,New,,6,170.1839,0,7
9/20/22,Amazon,Amazon,DTC,United States Of America,NC,New,,12,276.6911645,0,12
2/20/23,Amazon,Amazon,DTC,Canada,Unknown,New,Ca Core Free Shipping  A1mktv4oyo2hj1,1,20.38677657,0,1
9/29/22,Amazon,Amazon,DTC,United States Of America,IL,New,,4,92.15789042,0,4
12/7/22,Amazon,Amazon,DTC,United States Of America,AR,New,,1,107.3054806,0,1
2/6/23,Amazon,Amazon,DTC,United States Of America,CT,New,,1,39.00932175,0,1
1/9/23,Amazon,Amazon,DTC,United States Of America,MI,New,,2,43.51325681,0,2
11/13/22,Amazon,Amazon,DTC,United States Of America,KY,New,,1,22.36311631,0,1
11/12/22,Amazon,Amazon,DTC,United States Of America,WI,Existing,,1,22.36311631,0,1
11/13/22,Amazon,Amazon,DTC,United States Of America,MD,New,,2,44.72623262,0,2
1/17/23,Amazon,Amazon,DTC,United States Of America,HI,Existing,,1,64.5733224,0,1
12/15/22,Amazon,Amazon,DTC,United States Of America,LA,New,,2,65.69901144,0,3
1/31/23,Amazon,Amazon,DTC,Canada,Unknown,New,,13,279.6265255,0,13
10/5/22,Amazon,Amazon,DTC,Australia,Unknown,New,,23,579.59,0,23
2/23/23,Amazon,Amazon,DTC,Australia,Unknown,New,,24,633.59,0,25
1/6/23,Amazon,Amazon,DTC,United States Of America,CT,New,,4,132.2193849,0,5
10/9/22,Amazon,Amazon,DTC,United States Of America,NJ,New,,2,64.27233819,0,2
9/29/22,Amazon,Amazon,DTC,United States Of America,ID,New,,1,55.32976635,0,1
10/31/22,Amazon,Amazon,DTC,United States Of America,NY,New,,2,46.8121211,0,2
11/29/22,Amazon,Amazon,DTC,Singapore,Unknown,New,Pawsv22684480761591,1,19.70720328,0,1
2/25/23,Amazon,Amazon,DTC,United States Of America,OR,New,,2,83.95212382,0,3
1/8/23,Amazon,Amazon,DTC,United States Of America,NY,New,,6,183.0133585,0,8
9/23/22,Amazon,Amazon,DTC,United States Of America,IN,New,,1,22.5581512,0,1
9/23/22,Amazon,Amazon,DTC,United States Of America,FL,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,22.5581512,0,1
10/3/22,Amazon,Amazon,DTC,United States Of America,FL,Existing,Fba Subscribe  Save Discount,2,42.03211502,0,2
2/15/23,Amazon,Amazon,DTC,Hong Kong,Unknown,New,,1,29.534358,0,1
1/4/23,Amazon,Amazon,DTC,Canada,Unknown,New,Subscribe And Save Promotion V2,1,19.50717211,0,1
2/18/23,Amazon,Amazon,DTC,United States Of America,NJ,New,,4,104.7735168,0,4
10/3/22,Amazon,Amazon,DTC,United States Of America,FL,Existing,Subscribe And Save Promotion V2,1,21.01605751,0,1
10/2/22,Amazon,Amazon,DTC,United States Of America,KS,Existing,Fba Subscribe  Save Discount,1,21.01605751,0,1
11/9/22,Amazon,Amazon,DTC,United States Of America,NY,New,,5,134.4796226,0,5
1/12/23,Amazon,Amazon,DTC,United States Of America,HI,New,,5,144.7193232,0,6
2/22/23,Amazon,Amazon,DTC,United States Of America,NC,Existing,,2,43.68478738,0,2
10/1/22,Amazon,Amazon,DTC,United States Of America,VA,New,,3,70.22173428,0,3
10/1/22,Amazon,Amazon,DTC,United States Of America,NC,New,,2,70.22173428,0,3
9/19/22,Amazon,Amazon,DTC,United States Of America,GA,Existing,,5,178.3155395,0,5
10/2/22,Amazon,Amazon,DTC,United States Of America,CA,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,2,79.49160876,0,3
12/21/22,Amazon,Amazon,DTC,United States Of America,LA,Existing,Fba Subscribe  Save Discount,1,20.1710574,0,1
11/21/22,Amazon,Amazon,DTC,United States Of America,TN,Existing,Fba Subscribe  Save Discount,1,20.1896736,0,1
11/21/22,Amazon,Amazon,DTC,United States Of America,TX,Existing,Fba Subscribe  Save Discount,1,20.1896736,0,1
2/8/23,Amazon,Amazon,DTC,Canada,Unknown,New,Ca Core Free Shipping  A1mktv4oyo2hj1,1,20.24270269,0,1
9/22/22,Amazon,Amazon,DTC,United States Of America,NY,Existing,Fba Subscribe  Save Discount,3,61.01029219,0,3
12/19/22,Amazon,Amazon,DTC,United States Of America,FL,New,,7,215.2667472,0,7
10/13/22,Amazon,Amazon,DTC,United States Of America,FL,Existing,,7,272.4878582,0,7
10/18/22,Amazon,Amazon,DTC,United States Of America,AL,New,,3,95.14998436,0,3
3/9/23,Amazon,Amazon,DTC,United States Of America,MI,New,,3,72.7648562,0,3
9/12/22,Amazon,Amazon,DTC,United States Of America,HI,New,Fba Subscribe  Save Discount,1,46.98541985,0,1
9/12/22,Amazon,Amazon,DTC,United States Of America,WA,New,Fba Subscribe  Save Discount,1,46.98541985,0,1
2/16/23,Amazon,Amazon,DTC,United States Of America,OK,Existing,,2,43.17679127,0,2
12/16/22,Amazon,Amazon,DTC,United States Of America,FL,New,,15,354.2158735,0,15
12/21/22,Amazon,Amazon,DTC,United States Of America,CA,New,,16,420.836845,0,17
3/6/23,Amazon,Amazon,DTC,United States Of America,KS,New,,1,22.19064137,0,1
11/21/22,Amazon,Amazon,DTC,United States Of America,WV,Existing,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,22.4346336,0,1
11/20/22,Amazon,Amazon,DTC,United States Of America,SD,New,,1,22.4346336,0,1
11/20/22,Amazon,Amazon,DTC,United States Of America,OH,New,,1,22.4346336,0,1
11/20/22,Amazon,Amazon,DTC,United States Of America,WI,Existing,,1,22.4346336,0,1
11/21/22,Amazon,Amazon,DTC,United States Of America,MA,Existing,,2,44.8692672,0,2
11/20/22,Amazon,Amazon,DTC,United States Of America,MA,Existing,,1,44.8692672,0,1
12/13/22,Amazon,Amazon,DTC,Canada,Unknown,Existing,,4,122.8283534,0,4
1/31/23,Amazon,Amazon,DTC,United States Of America,CA,New,,9,224.4764228,0,9
10/15/22,Amazon,Amazon,DTC,United States Of America,SC,New,,1,43.54172546,0,1
10/28/22,Amazon,Amazon,DTC,United States Of America,TX,Existing,Fba Subscribe  Save Discount,2,41.94198833,0,2
3/6/23,Amazon,Amazon,DTC,United States Of America,OR,New,,1,22.19064137,0,1
2/16/23,Amazon,Amazon,DTC,United States Of America,IL,New,,2,43.17679127,0,2
3/5/23,Amazon,Amazon,DTC,United States Of America,TN,New,,2,44.33611787,0,2
1/17/23,Amazon,Amazon,DTC,United States Of America,PA,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,21.5244408,0,1
1/18/23,Amazon,Amazon,DTC,United States Of America,WI,New,,1,21.5244408,0,1
1/17/23,Amazon,Amazon,DTC,United States Of America,OK,New,,1,21.5244408,0,1
1/17/23,Amazon,Amazon,DTC,United States Of America,FL,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,21.5244408,0,1
1/17/23,Amazon,Amazon,DTC,United States Of America,AZ,New,,2,43.0488816,0,2
9/22/22,Amazon,Amazon,DTC,United States Of America,GA,Existing,,2,67.79423869,0,3
10/7/22,Amazon,Amazon,DTC,United States Of America,GA,New,,4,93.72116754,0,4
10/24/22,Amazon,Amazon,DTC,Australia,Unknown,New,,26,825.87,0,30
10/16/22,Amazon,Amazon,DTC,United States Of America,MO,New,,6,164.4551128,0,6
1/18/23,Amazon,Amazon,DTC,United States Of America,MN,Existing,,1,43.0488816,0,1
1/17/23,Amazon,Amazon,DTC,Singapore,Unknown,New,Pawsv22684480761591,1,28.05089427,0,1
3/5/23,Amazon,Amazon,DTC,United States Of America,HI,New,,1,22.1454765,0,1
1/21/23,Amazon,Amazon,DTC,United States Of America,WA,Existing,,1,21.68613793,0,1
1/21/23,Amazon,Amazon,DTC,United States Of America,UT,Existing,,1,21.68613793,0,1
1/21/23,Amazon,Amazon,DTC,United States Of America,IA,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,43.37227586,0,2
12/18/22,Amazon,Amazon,DTC,United States Of America,WI,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,53.59641597,0,1
12/2/22,Amazon,Amazon,DTC,United States Of America,NY,Existing,,4,88.07241089,0,4
1/22/23,Amazon,Amazon,DTC,New Zealand,Unknown,New,,1,19.91,0,1
3/5/23,Amazon,Amazon,DTC,United States Of America,MI,New,,1,22.1454765,0,1
3/5/23,Amazon,Amazon,DTC,United States Of America,OR,New,,1,22.1454765,0,1
1/20/23,Amazon,Amazon,DTC,United States Of America,AR,New,,1,21.68613793,0,1
1/20/23,Amazon,Amazon,DTC,United States Of America,MD,New,,2,43.37227586,0,2
1/20/23,Amazon,Amazon,DTC,United States Of America,SD,New,,1,43.37227586,0,2
1/21/23,Amazon,Amazon,DTC,United States Of America,CT,Existing,,1,43.37227586,0,1
1/21/23,Amazon,Amazon,DTC,United States Of America,WA,New,,2,43.37227586,0,2
12/11/22,Amazon,Amazon,DTC,United States Of America,WI,Existing,Subscribe And Save Promotion V2,1,22.05060479,0,1
12/10/22,Amazon,Amazon,DTC,United States Of America,TX,Existing,,1,22.05060479,0,1
12/10/22,Amazon,Amazon,DTC,United States Of America,VA,New,,1,22.05060479,0,1
12/10/22,Amazon,Amazon,DTC,United States Of America,PA,New,,1,22.05060479,0,1
3/7/23,Amazon,Amazon,DTC,United States Of America,LA,New,,7,187.7819957,0,7
1/27/23,Amazon,Amazon,DTC,United States Of America,MA,New,,5,105.2859825,0,5
2/6/23,Amazon,Amazon,DTC,United States Of America,FL,New,,7,182.0381274,0,7
10/11/22,Amazon,Amazon,DTC,United States Of America,NY,New,,3,71.44374906,0,3
12/4/22,Amazon,Amazon,DTC,United States Of America,MN,New,,4,141.2047216,0,4
3/1/23,Amazon,Amazon,DTC,Canada,Unknown,New,Ca Core Free Shipping  A1mktv4oyo2hj1,6,123.3465879,0,6
11/2/22,Amazon,Amazon,DTC,United States Of America,HI,New,,1,23.43725474,0,1
12/22/22,Amazon,Amazon,DTC,United States Of America,NY,New,,1,40.20557253,0,1
10/19/22,Amazon,Amazon,DTC,United States Of America,NV,New,,3,90.59705628,0,3
11/24/22,Amazon,Amazon,DTC,Canada,Unknown,Existing,,2,37.92637935,0,2